director,rating,openingweekendgross,movie_title,domestic_total_gross,release_date,runtime,budget,,
Chris Miller,PG,34077439,Puss in Boots,149260504,10/28/11 0:00,90,130000000,,
Tom Hooper,PG-13,27281735,Les Miserables,148809770,12/25/12 0:00,157,61000000,,
Judd Apatow,R,30690990,Knocked Up,148768917,6/1/07 0:00,129,30000000,,
James L. Brooks,PG-13,12606928,As Good as It Gets,148478011,12/23/97 0:00,139,50000000,,
Paul Weitz,PG-13,30833665,Little Fockers,148438600,12/22/10 0:00,98,100000000,,
Tom McGrath,PG,46016833,Megamind,148415853,11/5/10 0:00,96,130000000,,
Genndy Tartakovsky,PG,42522194,Hotel Transylvania,148313048,9/28/12 0:00,91,85000000,,
Adam McKay,PG-13,47042215,Talladega Nights: The Ballad of Ricky Bobby,148213377,8/4/06 0:00,110,72500000,,
Clint Eastwood,R,29484388,Gran Torino,148095302,12/12/08 0:00,116,33000000,,
Richard Donner,R,20388800,Lethal Weapon 2,147253986,7/7/89 0:00,113,,,
Matthew Vaughn,PG-13,55101604,X-Men: First Class,146408305,6/3/11 0:00,131,160000000,,
Steve Carr,PG,31832636,Paul Blart: Mall Cop,146336178,1/16/09 0:00,87,26000000,,
James Cameron,R,25869770,True Lies,146282411,7/15/94 0:00,144,115000000,,
Dean DeBloisChris Sanders,PG,35260212,Lilo & Stitch,145794338,6/21/02 0:00,85,80000000,,
,R,45117985,American Pie 2,145103595,8/10/01 0:00,104,30000000,,
Pierre Morel,PG-13,24717037,Taken,145000989,1/30/09 0:00,93,25000000,,
,G,,101 Dalmatians,14000000,1/25/61 0:00,79,,,
Baz Luhrmann,PG-13,50085185,The Great Gatsby,144840419,5/10/13 0:00,143,105000000,,
,PG,19321992,The Santa Clause,144833357,11/11/94 0:00,97,22000000,,
Alex Proyas,PG-13,52179887,"I, Robot",144801023,7/16/04 0:00,105,120000000,,
Richard Donner,R,33243086,Lethal Weapon 3,144731527,5/15/92 0:00,118,35000000,,
Rob Cohen,PG-13,40089015,The Fast and the Furious,144533925,6/22/01 0:00,106,38000000,,
Betty Thomas,PG-13,29014324,Doctor Dolittle,144156605,6/26/98 0:00,85,,,
,PG-13,27751240,Mamma Mia!,144130063,7/18/08 0:00,108,52000000,,
Carlos Saldanha,G,39225962,Rio,143619809,4/15/11 0:00,96,90000000,,
Jason Reitman,PG-13,10634576,Juno,143495265,12/5/07 0:00,91,7500000,,
David Frankel,PG,36357586,Marley and Me,143153751,12/25/08 0:00,120,,,
Raja Gosnell,PG,35611637,The Smurfs,142614158,7/29/11 0:00,86,110000000,,
Rob Cohen,PG-13,44506103,XXX,142109382,8/9/02 0:00,113,70000000,,
